Learning Rate: 0.01, Max Iterations: 100, Num Hidden Layers: 2,,,,,,,
Iteration,Set 1 Testing Logistic Accuracy,Set 1 Testing TanH Accuracy,Set 1 Testing ReLu Accuracy,Logistic Loss,TanH Loss,ReLu Loss,Set 1 Training Logistic Accuracy,Set 1 Training TanH Accuracy,set 1 Training ReLu Accuracy
0,0.027777778,0.041666667,0.712962963,1.433227394,2.706676074,1.064043996,0.040926641,0.039382239,0.695752896
1,0.712962963,0.041666667,0.712962963,1.246904895,2.369730868,0.963459603,0.695752896,0.039382239,0.695752896
2,0.712962963,0.064814815,0.712962963,1.117894662,2.004866067,0.90487864,0.695752896,0.06023166,0.695752896
3,0.712962963,0.428240741,0.712962963,1.032987431,1.553542032,0.863029109,0.695752896,0.396138996,0.695752896
4,0.712962963,0.68287037,0.712962963,0.973636765,1.23442068,0.833264203,0.695752896,0.664864865,0.695752896
5,0.712962963,0.708333333,0.712962963,0.928953533,1.108525491,0.810906391,0.695752896,0.695752896,0.695752896
6,0.712962963,0.712962963,0.712962963,0.898358792,1.027828342,0.79204082,0.695752896,0.695752896,0.695752896
7,0.712962963,0.712962963,0.712962963,0.875129355,0.96883885,0.776817622,0.695752896,0.695752896,0.695752896
8,0.712962963,0.712962963,0.712962963,0.855786789,0.927797013,0.762592542,0.695752896,0.695752896,0.695752896
9,0.712962963,0.712962963,0.712962963,0.839705905,0.900074174,0.748584941,0.695752896,0.695752896,0.695752896
10,0.712962963,0.712962963,0.712962963,0.825621234,0.882888799,0.735701888,0.695752896,0.695752896,0.695752896
11,0.712962963,0.712962963,0.712962963,0.813276517,0.870834731,0.722807584,0.695752896,0.695752896,0.695752896
12,0.712962963,0.712962963,0.712962963,0.80179801,0.863064857,0.711196529,0.695752896,0.695752896,0.695752896
13,0.712962963,0.712962963,0.712962963,0.791029253,0.857706217,0.69947139,0.695752896,0.695752896,0.695752896
14,0.712962963,0.712962963,0.712962963,0.780529497,0.853785908,0.688109702,0.695752896,0.695752896,0.695752896
15,0.712962963,0.712962963,0.712962963,0.770831317,0.850915617,0.677649098,0.695752896,0.695752896,0.695752896
16,0.712962963,0.712962963,0.712962963,0.761506903,0.848582458,0.667444101,0.695752896,0.695752896,0.695752896
17,0.712962963,0.712962963,0.712962963,0.752637264,0.845959549,0.658553954,0.695752896,0.695752896,0.695752896
18,0.712962963,0.712962963,0.712962963,0.744824487,0.843362854,0.649861538,0.695752896,0.695752896,0.695752896
19,0.712962963,0.712962963,0.712962963,0.736070691,0.83975703,0.642528445,0.695752896,0.695752896,0.695752896
20,0.712962963,0.712962963,0.685185185,0.728585199,0.8347056,0.635355783,0.695752896,0.695752896,0.688803089
21,0.712962963,0.719907407,0.6875,0.721431461,0.823395699,0.6280046,0.695752896,0.697297297,0.685714286
22,0.712962963,0.724537037,0.69212963,0.714625631,0.807206902,0.62364472,0.695752896,0.702702703,0.688803089
23,0.712962963,0.729166667,0.696759259,0.708237961,0.792999342,0.616938291,0.695752896,0.707335907,0.688803089
24,0.712962963,0.726851852,0.703703704,0.702186225,0.781939374,0.612622751,0.695752896,0.70965251,0.691119691
25,0.712962963,0.726851852,0.703703704,0.696554192,0.768924796,0.608790639,0.695752896,0.711196911,0.688030888
26,0.712962963,0.740740741,0.699074074,0.691580148,0.755916807,0.602945283,0.695752896,0.715057915,0.698841699
27,0.712962963,0.736111111,0.706018519,0.687811522,0.742118938,0.598869323,0.695752896,0.722779923,0.696525097
28,0.712962963,0.733796296,0.701388889,0.681259606,0.727784032,0.594714967,0.695752896,0.727413127,0.6996139
29,0.712962963,0.733796296,0.703703704,0.67747857,0.712995051,0.590834283,0.695752896,0.732046332,0.706563707
30,0.719907407,0.74537037,0.706018519,0.674493278,0.697856937,0.587201816,0.702702703,0.732818533,0.705791506
31,0.717592593,0.747685185,0.708333333,0.669200778,0.684618175,0.584894846,0.702702703,0.735135135,0.708108108
32,0.731481481,0.75462963,0.708333333,0.665737205,0.670047786,0.581044104,0.717374517,0.755212355,0.71042471
33,0.74537037,0.752314815,0.706018519,0.66189596,0.655490822,0.577554521,0.732046332,0.750579151,0.70965251
34,0.740740741,0.761574074,0.710648148,0.659657592,0.645415329,0.575322079,0.728957529,0.763706564,0.715830116
35,0.743055556,0.766203704,0.712962963,0.655504094,0.63727336,0.572175914,0.734362934,0.766023166,0.715057915
36,0.75,0.775462963,0.712962963,0.652580664,0.627923854,0.569851296,0.745945946,0.762934363,0.72046332
37,0.74537037,0.773148148,0.712962963,0.649505159,0.615734132,0.567100919,0.73976834,0.76988417,0.71969112
38,0.756944444,0.768518519,0.712962963,0.64713119,0.609233266,0.565365176,0.745945946,0.761389961,0.718918919
39,0.759259259,0.773148148,0.717592593,0.643827512,0.603275238,0.562980614,0.745945946,0.762162162,0.723552124
40,0.756944444,0.782407407,0.717592593,0.641628174,0.597691441,0.560237284,0.746718147,0.768339768,0.725096525
41,0.759259259,0.775462963,0.717592593,0.638941787,0.59436967,0.558461639,0.755984556,0.773745174,0.725096525
42,0.756944444,0.775462963,0.722222222,0.637086189,0.588787839,0.556002133,0.756756757,0.771428571,0.725868726
43,0.770833333,0.777777778,0.724537037,0.63456786,0.585675416,0.554990028,0.763706564,0.772200772,0.725868726
